Дата,Изменение наличных денег в обращении (вне Банка России),Всего,движение средств по государственному внутреннему долгу,изменение задолженности банков по депозитам Федерального казначейства,изменение задолженности банков по операциям репо Федерального казначейства,операции Минфина России по покупке (продаже) иностранной валюты на внутреннем валютном рынке*,Регулирование Банком России обязательных резервов кредитных организаций,Интервенции Банка России на внутреннем валютном рынке,Нетто-объем операций Банка России по предоставлению и абсорбированию ликвидности (без учета операций на внутреннем валютном рынке)
2011-09-29,0.55,335.22,0.0,0.0,0.0,0.0,0.0,-9.49,-308.23
2011-09-30,-18.19,-122.64,0.0,0.0,0.0,0.0,0.0,-13.98,241.5
2011-10-03,16.68,-9.75,0.0,0.0,0.0,0.0,0.0,-14.46,-2.94
2011-10-04,3.13,-19.47,0.0,0.0,0.0,0.0,0.0,-14.63,-86.07
2011-10-05,-12.4,26.84,0.0,0.0,0.0,0.0,0.0,-37.71,-30.05
2011-10-06,-29.38,19.65,0.0,0.0,0.0,0.0,0.0,-14.69,-25.64
2011-10-07,-41.22,68.91,0.0,0.0,0.0,0.0,0.0,-14.59,-48.67
2011-10-10,6.95,-18.84,0.0,0.0,0.0,0.0,0.0,-2.2,211.16
2011-10-11,-2.81,6.93,0.0,0.0,0.0,0.0,0.0,-16.02,157.98
2011-10-12,-16.74,16.62,0.0,0.0,0.0,0.0,0.0,-7.88,81.12
2011-10-13,-29.98,-12.28,0.0,0.0,0.0,0.0,0.02,-3.76,-44.18
2011-10-14,-36.2,-14.6,0.0,0.0,0.0,0.0,-0.09,-7.2,29.0
2011-10-17,15.57,-33.72,0.0,0.0,0.0,0.0,-2.64,-3.71,69.36
2011-10-18,8.99,-1.23,0.0,0.0,0.0,0.0,-6.89,-3.69,68.52
2011-10-19,1.21,-13.56,0.0,0.0,0.0,0.0,0.0,-4.21,-93.46
2011-10-20,-14.16,-153.11,0.0,0.0,0.0,0.0,0.0,-3.72,56.57
2011-10-21,-14.13,20.3,0.0,0.0,0.0,0.0,0.0,-7.83,43.31
2011-10-24,33.0,-55.63,0.0,0.0,0.0,0.0,0.0,-7.82,41.69
2011-10-25,27.53,-196.9,0.0,0.0,0.0,0.0,0.02,-3.7,212.41
2011-10-26,16.48,12.77,0.0,0.0,0.0,0.0,0.0,-3.66,-49.88
2011-10-27,-0.09,-20.41,0.0,0.0,0.0,0.0,0.0,-3.67,-116.65
2011-10-28,-0.2,-89.88,0.0,0.0,0.0,0.0,0.0,-0.85,11.6
2011-10-31,36.13,23.22,0.0,0.0,0.0,0.0,0.0,0.0,75.98
2011-11-01,13.93,63.65,0.0,0.0,0.0,0.0,0.0,0.0,-91.67
2011-11-02,-24.88,16.1,0.0,0.0,0.0,0.0,0.0,-3.69,-92.3
2011-11-03,-50.76,75.97,0.0,0.0,0.0,0.0,0.0,-3.67,-40.87
2011-11-07,25.51,19.16,0.0,0.0,0.0,0.0,0.0,-3.69,-28.04
2011-11-08,17.19,70.89,0.0,0.0,0.0,0.0,0.0,-3.4,57.25
2011-11-09,-2.49,-8.96,0.0,0.0,0.0,0.0,0.0,-0.07,-200.03
2011-11-10,-26.15,8.17,0.0,0.0,0.0,0.0,0.0,-0.04,426.3
2011-11-11,-38.36,22.51,0.0,0.0,0.0,0.0,0.84,0.0,8.98
2011-11-14,9.56,-13.13,0.0,0.0,0.0,0.0,0.0,-0.68,22.54
2011-11-15,-1.42,-21.11,0.0,0.0,0.0,0.0,0.11,0.0,83.28
2011-11-16,-7.02,2.56,0.0,0.0,0.0,0.0,-6.03,0.0,-25.16
2011-11-17,-24.73,5.1,0.0,0.0,0.0,0.0,-7.86,0.0,-197.17
2011-11-18,-29.96,27.52,0.0,0.0,0.0,0.0,-0.04,-0.4,12.97
2011-11-21,26.92,-83.4,0.0,0.0,0.0,0.0,0.0,-3.7,11.44
2011-11-22,20.11,28.9,0.0,0.0,0.0,0.0,0.0,-3.72,-15.41
2011-11-23,10.61,-48.4,0.0,0.0,0.0,0.0,0.02,-3.72,22.52
2011-11-24,-3.82,-22.32,0.0,0.0,0.0,0.0,0.0,-0.41,-51.91
2011-11-25,-6.7,-171.97,0.0,0.0,0.0,0.0,0.0,-7.13,291.89
2011-11-28,35.64,-95.51,0.0,0.0,0.0,0.0,-0.02,-3.79,44.36
